url_path,views_total,views_unique
/aws-samples/guardduty-to-sns-mail,5,4
/aws-samples/guardduty-to-sns-mail/blob/main/guardduty-to-sns.yaml,4,2
/aws-samples/guardduty-to-sns-mail/tree/main/architecture,4,2
/aws-samples/guardduty-to-sns-mail/tree/main/guardduty_eb,4,2
/aws-samples/guardduty-to-sns-mail/blob/main/guardduty_eb/guardduty_eb_stack.py,4,1
/aws-samples/guardduty-to-sns-mail/blob/main/architecture/GuardDuty%20to%20SNS.png,2,1
/aws-samples/guardduty-to-sns-mail/blob/main/architecture/mail-sample.png,2,1
/aws-samples/guardduty-to-sns-mail/blob/main/README.md,2,1
/aws-samples/guardduty-to-sns-mail/blob/main/requirements.txt,2,1
